Meme Name,Primary Audience,Humor Style,Keywords
Arm wrestling meme template,Young Adults,Sarcastic,"['competition', 'strength', 'disagreement', 'comparison', 'contradiction']"
Arrested Development how much would a banana cost,Millennials,Witty,"['ignorance', 'wealth', 'disconnect', 'price', 'fruit']"
Arthur Fist,Gen Z,Relatable,"['anger', 'frustration', 'cartoon', 'reaction', 'emotion']"
Assassination chain,Young Adults,Absurd,"['conspiracy', 'surprise', 'cycle', 'betrayal', 'sequence']"
astronaut meme always has been template,Millennials,Sarcastic,"['space', 'revelation', 'betrayal', 'discovery', 'shock']"
Atlas holding Earth,General Public,Witty,"['burden', 'strength', 'mythology', 'responsibility', 'planet']"
At home,Parents,Relatable,"['domestic life', 'comparison', 'expectation', 'reality', 'home']"
Average Fan vs Average Enjoyer,Gen Z,Sarcastic,"['comparison', 'superiority', 'fandom', 'enjoyment', 'judgment']"
A center for ants,Millennials,Witty,"['size', 'misunderstanding', 'mockery', 'scale', 'incredulity']"
A second plane has just hit,General Public,Cringe,"['shock', 'news', 'disaster', 'unexpected', 'tragedy']"
A train hitting a school bus,General Public,Absurd,"['collision', 'disaster', 'unexpected', 'danger', 'transportation']"
babe please,Young Adults,Relatable,"['pleading', 'relationship', 'request', 'desire', 'negotiation']"
Babe It s 4PM time for your,Young Adults,Witty,"['routine', 'relationship', 'timing', 'reminder', 'humor']"
Back In My Day,Parents,Wholesome,"['nostalgia', 'comparison', 'generational gap', 'past', 'storytelling']"
Badass Skeleton,Gen Z,Absurd,"['skeleton', 'cool', 'badass', 'fantasy', 'humor']"
Bad Luck Brian,Millennials,Sarcastic,"['unfortunate', 'awkward', 'misfortune', 'teenager', 'irony']"
Bad Pun Dog,General Public,Witty,"['dog', 'jokes', 'puns', 'humor', 'funny']"
Bart Simpson chalkboard,Millennials,Sarcastic,"['school', 'punishment', 'repetition', 'cartoon', 'irony']"
Bateman walking,Young Adults,Absurd,"['confusion', 'walking', 'celebrity', 'reaction', 'awkward']"
batman signal,General Public,Witty,"['superhero', 'call', 'emergency', 'night', 'comic']"
Batman Slapping Robin,General Public,Sarcastic,"['superhero', 'violence', 'comic', 'disagreement', 'shock']"
Bee Movie Lawyer Tantrum,Gen Z,Absurd,"['movie', 'lawyer', 'tantrum', 'bee', 'outrage']"
Bell Curve,Students,Relatable,"['statistics', 'grades', 'education', 'distribution', 'normal']"
Bender,Millennials,Sarcastic,"['robot', 'futuristic', 'cartoon', 'cynical', 'alcohol']"
Ben affleck smoking,Young Adults,Relatable,"['celebrity', 'smoking', 'stress', 'reaction', 'disbelief']"
Bernie I Am Once Again Asking For Your Support,Young Adults,Sarcastic,"['politics', 'request', 'support', 'campaign', 'repetition']"
Bernie Sanders Once Again Asking,Young Adults,Sarcastic,"['politics', 'request', 'support', 'campaign', 'repetition']"
BEST I CAN DO IS,General Public,Sarcastic,"['negotiation', 'deal', 'bargain', 'discount', 'offer']"
Beyoncé Tiffany Pollard,Young Adults,Witty,"['celebrity', 'comparison', 'reaction', 'drama', 'entertainment']"
Be Like Bill,General Public,Wholesome,"['behavior', 'example', 'stick figure', 'advice', 'moral']"
Big book small book,Students,Relatable,"['books', 'reading', 'comparison', 'education', 'knowledge']"
Big dog small dog,General Public,Wholesome,"['dogs', 'size', 'comparison', 'cute', 'animals']"
Big thumb guy,Gen Z,Absurd,"['thumbs up', 'giant', 'approval', 'surreal', 'humor']"
big yellow ball and,Gen Z,Absurd,"['ball', 'yellow', 'surreal', 'confusion', 'humor']"
Bike Fall,General Public,Sarcastic,"['accident', 'bicycle', 'fall', 'pain', 'mistake']"
Bilbo Why shouldn't I keep it,General Public,Sarcastic,"['Possession', 'Greed', 'Desire', 'Temptation', 'Lord of the Rings']"
Bill Murray Groundhog Day,Millennials,Absurd,"['Repetition', 'Frustration', 'Time Loop', 'Surreal', 'Comedy']"
Bird Cracker,Gen Z,Wholesome,"['Animals', 'Cute', 'Surprise', 'Joy', 'Innocence']"
Blackjack and Hookers,Young Adults,Sarcastic,"['Defiance', 'Rebellion', 'Futurama', 'Discontent', 'Alternative']"
Black background,General Public,Witty,"['Minimalistic', 'Simple', 'General', 'Versatile', 'Universal']"
Black Box Meme,Gen Z,Relatable,"['Censorship', 'Mystery', 'Hidden', 'Suspense', 'Secret']"
black cat zoning out,Gen Z,Absurd,"['Animals', 'Cute', 'Distracted', 'Funny', 'Daydreaming']"
Black Girl Wat,Young Adults,Sarcastic,"['Confusion', 'Disbelief', 'Surprise', 'Reaction', 'Irony']"
Black guy disappearing,Gen Z,Relatable,"['Vanishing', 'Avoidance', 'Escape', 'Hiding', 'Humorous']"
Black guy hiding behind tree,Gen Z,Relatable,"['Hiding', 'Avoidance', 'Stealth', 'Humorous', 'Escape']"
black guy pointing at head,Gen Z,Witty,"['Smart', 'Idea', 'Thinking', 'Clever', 'Insight']"
black guy stopping,Gen Z,Sarcastic,"['Stopping', 'Prevention', 'Intervention', 'Humorous', 'Reaction']"
Black man crying,Gen Z,Relatable,"['Sad', 'Emotional', 'Crying', 'Tears', 'Upset']"
Black Panther Get this man a shield,General Public,Witty,"['Superhero', 'Marvel', 'Protection', 'Assistance', 'Duty']"
Black Scientist Finally Xium,Professionals,Witty,"['Science', 'Discovery', 'Achievement', 'Relief', 'Success']"
Black White Arms,General Public,Wholesome,"['Unity', 'Friendship', 'Solidarity', 'Togetherness', 'Diversity']"
Blank,General Public,Witty,"['Empty', 'Versatile', 'General', 'Universal', 'Open']"
blank black,General Public,Witty,"['Empty', 'Dark', 'Versatile', 'General', 'Universal']"
blank invincible title card,Young Adults,Witty,"['Superhero', 'Invincible', 'Title Card', 'Versatile', 'Adaptable']"
blank kermit waiting,Millennials,Sarcastic,"['Waiting', 'Patience', 'Muppets', 'Kermit', 'Anticipation']"
Blank Nut Button,General Public,Absurd,"['button', 'decision', 'choice', 'conflict', 'absurdity']"
Blank protest sign,Young Adults,Sarcastic,"['protest', 'sign', 'message', 'opinion', 'satire']"
blank red MAGA hat,General Public,Sarcastic,"['politics', 'hat', 'message', 'satire', 'controversy']"
Blank Tombstone,General Public,Absurd,"['tombstone', 'death', 'end', 'final', 'humor']"
Blank Transparent Square,Gen Z,Witty,"['transparent', 'square', 'blank', 'creative', 'imagination']"
Blank Trophy,Students,Wholesome,"['trophy', 'achievement', 'success', 'reward', 'recognition']"
Blank T Shirt,Millennials,Relatable,"['t-shirt', 'message', 'clothing', 'express', 'personal']"
Blank White Template,General Public,Witty,"['blank', 'template', 'canvas', 'creative', 'potential']"
Blank Wild Pokemon Appears,Gamers,Absurd,"['pokemon', 'surprise', 'game', 'encounter', 'unexpected']"
Blue Grinch,General Public,Sarcastic,"['grinch', 'disapproval', 'sarcasm', 'dislike', 'criticism']"
Boardroom Meeting Suggestion,Professionals,Witty,"['meeting', 'suggestion', 'disagreement', 'office', 'professional']"
Body is a Machine,Young Adults,Relatable,"['body', 'machine', 'health', 'fitness', 'humor']"
Borat 2 Tonight Queen,Millennials,Absurd,"['Borat', 'queen', 'anticipation', 'excitement', 'movie']"
Born Died Welcome Back,Young Adults,Sarcastic,"['birth', 'death', 'cycle', 'sarcasm', 'reincarnation']"
Both Buttons Pressed,General Public,Relatable,"['buttons', 'decision', 'conflict', 'dilemma', 'pressure']"
Brace Yourselves X is Coming,General Public,Witty,"['anticipation', 'warning', 'preparation', 'event', 'forecast']"
braveheart freedom,Young Adults,Sarcastic,"['freedom', 'braveheart', 'battle', 'resistance', 'defiance']"
breaking bad,Young Adults,Sarcastic,"['Breaking Bad', 'TV show', 'drama', 'crime', 'conflict']"
breaking bad smile frown,Young Adults,Relatable,"['Breaking Bad', 'emotion', 'duality', 'contrast', 'reaction']"
Breaking News template,General Public,Witty,"['news', 'announcement', 'headline', 'media', 'report']"
Bro explaining,Gen Z,Sarcastic,"['explanation', 'misunderstanding', 'dialogue', 'ignorance', 'patronizing']"
Bro Please Bro,Gen Z,Absurd,"['pleading', 'desperation', 'hyperbole', 'exaggeration', 'drama']"
Bro visited his friend,Gen Z,Relatable,"['friendship', 'visit', 'unexpected', 'surprise', 'social interaction']"
Buddy Christ,General Public,Sarcastic,"['religion', 'jesus', 'thumbs up', 'cheerful', 'irony']"
Buff Doge vs Cheems,Gen Z,Witty,"['comparison', 'contrast', 'dogs', 'strength', 'weakness']"
Bugs bunny communist,Millennials,Absurd,"['communism', 'cartoon', 'politics', 'satire', 'propaganda']"
Bugs bunny I wish all empty template,Gen Z,Wholesome,"['wishes', 'cartoon', 'positivity', 'kindness', 'generosity']"
Bugs Bunny no,Gen Z,Sarcastic,"['refusal', 'rejection', 'cartoon', 'disapproval', 'negation']"
Burning House Girl,Millennials,Cringe,"['disaster', 'smiling', 'house', 'fire', 'indifference']"
Burning Money,Young Adults,Sarcastic,"['waste', 'money', 'flames', 'reckless', 'financial loss']"
Butterfly man,Millennials,Witty,"['misidentification', 'butterfly', 'confusion', 'misunderstanding', 'nature']"
But it was me Dio,Gamers,Absurd,"['anime', 'surprise', 'betrayal', 'deception', 'villain']"
But That s None Of My Business,Young Adults,Sarcastic,"['indifference', 'tea', 'judgment', 'observation', 'gossip']"
Buzz And Woody,General Public,Relatable,"['disbelief', 'toys', 'cartoon', 'surprise', 'friendship']"
Buzz lightyear clones,General Public,Witty,"['clones', 'surprise', 'toys', 'repetition', 'multiplication']"
Call an ambulance but not for me,Gen Z,Witty,"['surprise', 'ambulance', 'trickery', 'reversal', 'conflict']"
captain america so you,Millennials,Sarcastic,"['judgment', 'superhero', 'accusation', 'recognition', 'confrontation']"
Captain Kirk Khan,Professionals,Witty,"['anger', 'sci-fi', 'shouting', 'frustration', 'rivalry']"
Captain Phillips   I m The Captain Now,Young Adults,Sarcastic,"['authority', 'control', 'dominance', 'assertion', 'leadership']"
Captain Picard Facepalm,Professionals,Sarcastic,"['disappointment', 'facepalm', 'frustration', 'disbelief', 'sci-fi']"
Cars Passing Each Other,General Public,Relatable,"['driving', 'misunderstanding', 'comparison', 'contrast', 'rivalry']"
Car Drift Meme,Gen Z,Absurd,"['car', 'drifting', 'unexpected', 'surprise', 'drama']"
Car drives off of cliff improved,Young Adults,Absurd,"['car', 'cliff', 'danger', 'risk', 'irony']"
Car Salesman Slaps Roof Of Car,Millennials,Sarcastic,"['salesman', 'exaggeration', 'selling', 'deal', 'persuasion']"
Cat looks inside,General Public,Wholesome,"['cat', 'curiosity', 'discovery', 'surprise', 'innocence']"
Cat newspaper,General Public,Witty,"['cat', 'reading', 'news', 'surprise', 'judgment']"
Chad Richard,Gen Z,Cringe,"['comparison', 'contrast', 'stereotypes', 'alpha', 'beta']"
Change My Mind,Students,Sarcastic,"['debate', 'opinion', 'challenge', 'stubborn', 'disagreement']"
Change My Mind tilt corrected,Students,Sarcastic,"['debate', 'opinion', 'challenge', 'stubborn', 'disagreement']"
Chapelle crack,Young Adults,Absurd,"['addiction', 'desperation', 'exaggeration', 'obsession', 'craving']"
Charlie Conspiracy Always Sunny in Philidelphia,Millennials,Absurd,"['conspiracy', 'theory', 'paranoia', 'overthinking', 'obsession']"
Charlie Day,Millennials,Relatable,"['confusion', 'overwhelm', 'stress', 'work', 'anxiety']"
Chef Skinner Reading a Letter,General Public,Witty,"['reading', 'letter', 'surprise', 'disbelief', 'reaction']"
Children scared of rabbit,Parents,Wholesome,"['children', 'fear', 'rabbit', 'surprise', 'innocence']"
Chill guy,Young Adults,Relatable,"['relaxed', 'unbothered', 'calm', 'cool', 'content']"
Church gun,Professionals,Sarcastic,"['church', 'gun', 'conflict', 'irony', 'unexpected']"
Church Sniper,Professionals,Absurd,"['church', 'sniper', 'danger', 'unexpected', 'irony']"
Clippy,Millennials,Witty,"['microsoft', 'assistant', 'help', 'annoyance', 'nostalgia']"
Clown Applying Makeup,Gen Z,Sarcastic,"['clown', 'makeup', 'preparation', 'self-deception', 'irony']"
Clown Makeup slander,Gen Z,Cringe,"['clown', 'makeup', 'slander', 'insult', 'ridicule']"
cmon do something,Young Adults,Sarcastic,"['impatience', 'procrastination', 'boredom', 'anticipation', 'frustration']"
cnn breaking news template,General Public,Sarcastic,"['news', 'media', 'satire', 'pseudonews', 'headline']"
Coffin Dance,Gen Z,Absurd,"['funeral', 'dance', 'Ghana', 'celebration', 'irony']"
Community Fire Pizza Meme,Young Adults,Relatable,"['chaos', 'denial', 'disaster', 'indifference', 'TV show']"
Confession Bear,Millennials,Wholesome,"['confession', 'guilt', 'secrets', 'regret', 'admission']"
Confused Gandalf,Young Adults,Relatable,"['confusion', 'forgetfulness', 'questioning', 'LOTR', 'bewilderment']"
Confused John Travolta Pulp Fiction,Millennials,Relatable,"['confusion', 'uncertainty', 'bewilderment', 'movie', 'mystery']"
Confused Math Lady,Students,Relatable,"['confusion', 'math', 'problem solving', 'bewilderment', 'complexity']"
Confused Monkey,Gen Z,Relatable,"['confusion', 'bewilderment', 'animal', 'uncertainty', 'questioning']"
Corporate needs you to find the differences,Professionals,Sarcastic,"['comparison', 'indifference', 'workplace', 'management', 'irony']"
corporate wants you to find the difference,Professionals,Sarcastic,"['comparison', 'indifference', 'workplace', 'management', 'irony']"
couple in bed,Young Adults,Relatable,"['relationship', 'misunderstanding', 'couple', 'bedtime', 'thoughts']"
Crab Rave,Gen Z,Absurd,"['celebration', 'crabs', 'dance', 'music', 'party']"
Creepy Condescending Wonka,Millennials,Sarcastic,"['condescension', 'sarcasm', 'movie', 'irony', 'taunt']"
cross eyed spongebob,Gen Z,Cringe,"['mockery', 'spongebob', 'cartoon', 'absurd', 'ridiculous']"
Crying cat,Gen Z,Wholesome,"['sadness', 'cat', 'tears', 'emotional', 'animal']"
crying girl dancing guy,Young Adults,Relatable,"['contrast', 'party', 'emotion', 'dance', 'tears']"
Crying Hulk,Young Adults,Relatable,"['sadness', 'superhero', 'tears', 'emotion', 'Hulk']"
crying michael jordan,Millennials,Sarcastic,"['sadness', 'tears', 'sports', 'emotion', 'basketball']"
crying wojak vs chad,Gen Z,Cringe,"['contrast', 'emotion', 'tears', 'internet culture', 'comparison']"
Cuphead Flower,Gamers,Absurd,"['video game', 'boss battle', 'challenge', 'funny', 'cartoon']"
Cute Cat,General Public,Wholesome,"['adorable', 'animals', 'joy', 'happiness', 'pets']"
c mon do something,Young Adults,Sarcastic,"['impatient', 'expectation', 'frustration', 'waiting', 'boredom']"
Dabbing Dude,Gen Z,Cringe,"['dab', 'dance move', 'trend', 'youth culture', 'silly']"
dad belt template,Parents,Relatable,"['discipline', 'parenting', 'old school', 'punishment', 'childhood']"
Dancing monkeys,General Public,Wholesome,"['joy', 'fun', 'celebration', 'animals', 'happiness']"
Darth Vader,Millennials,Witty,"['star wars', 'sci-fi', 'villain', 'iconic', 'movie']"
dave chappelle,Young Adults,Sarcastic,"['comedian', 'satire', 'social commentary', 'funny', 'pop culture']"
DBZ FUSION,Millennials,Absurd,"['anime', 'Dragon Ball Z', 'transformation', 'power up', 'action']"
Dean Norris s reaction,Young Adults,Relatable,"['surprise', 'shock', 'reaction', 'drama', 'TV show']"
death knocking at the door,General Public,Sarcastic,"['mortality', 'fear', 'dark humor', 'unexpected', 'grim reaper']"
Deep Thoughts,Students,Witty,"['philosophy', 'contemplation', 'introspection', 'wisdom', 'pondering']"
Did you mean,Professionals,Witty,"['search engine', 'typo', 'misunderstanding', 'internet', 'correction']"
Dinkleberg,Millennials,Sarcastic,"['cartoon', 'Fairly Odd Parents', 'blame', 'neighbor', 'TV show']"
disappearing,Gen Z,Absurd,"['vanishing', 'sudden', 'unexpected', 'surprise', 'disappearance']"
Disappearing kid gif,Gen Z,Absurd,"['child', 'vanishing', 'funny', 'unexpected', 'sudden']"
Disappointed Black Guy,Millennials,Relatable,"['letdown', 'anticipation', 'expectations', 'reality', 'frustration']"
Disappointed Man,Young Adults,Relatable,"['anticipation', 'letdown', 'expectations', 'reality', 'frustration']"
Disappointed Muhammad Sarim Akhtar,Millennials,Relatable,"['cricket', 'letdown', 'anticipation', 'expectations', 'frustration']"
Disaster Girl,General Public,Sarcastic,"['fire', 'chaos', 'destruction', 'innocence', 'mischief']"
Disloyal Boyfriend,Young Adults,Relatable,"['infidelity', 'temptation', 'girlfriend', 'distraction', 'desire']"
Distracted Boyfriend,Millennials,Relatable,"['infidelity', 'temptation', 'girlfriend', 'distraction', 'desire']"
dj khaled suffering from success meme,Gen Z,Sarcastic,"['success', 'pain', 'irony', 'celebrity', 'overachievement']"
Doctor Fate,Gamers,Witty,"['superhero', 'magic', 'power', 'destiny', 'justice']"
Doge,General Public,Wholesome,"['dog', 'shiba inu', 'cute', 'funny', 'internet']"
Dog on fire,Millennials,Sarcastic,"['dog', 'fire', 'chaos', 'denial', 'calm']"
dog vs werewolf,Gen Z,Absurd,"['dog', 'werewolf', 'comparison', 'contrast', 'humor']"
Domino Effect,Professionals,Witty,"['cause', 'effect', 'consequence', 'chain reaction', 'outcome']"
Donald Trump,General Public,Sarcastic,"['president', 'politics', 'celebrity', 'controversial', 'leader']"
Donald trump approves,General Public,Sarcastic,"['president', 'politics', 'approval', 'endorsement', 'leader']"
Donald Trump Mugshot,General Public,Sarcastic,"['president', 'politics', 'crime', 'controversial', 'leader']"
Don Draper Whiteboard,Professionals,Witty,"['advertising', 'ideas', 'creativity', 'business', 'presentation']"
Don t make me tap the sign,Parents,Sarcastic,"['rules', 'reminder', 'warning', 'instruction', 'annoyance']"
Don t You Squidward,Gen Z,Relatable,"['cartoon', 'spongebob', 'recognition', 'accusation', 'denial']"
Doof If I had a Nickel,Gen Z,Sarcastic,"['irony', 'repetition', 'unusual situations', 'cartoon', 'unexpected']"
Doomguy,Gamers,Absurd,"['video games', 'violence', 'contrast', 'unimpressed', 'heroic']"
Do all the things,Young Adults,Relatable,"['overwhelm', 'productivity', 'stress', 'tasks', 'exaggeration']"
Drakeposting,Millennials,Witty,"['preferences', 'comparison', 'celebrity', 'disapproval', 'approval']"
Drake Josh Megan,Gen Z,Sarcastic,"['blame', 'surprise', 'television show', 'pranks', 'siblings']"
drowning kid in the pool,Gen Z,Absurd,"['ignorance', 'danger', 'neglect', 'irony', 'contrast']"
drowning kid skeleton,Gen Z,Absurd,"['death', 'delay', 'neglect', 'irony', 'dark humor']"
Dr Evil Laser,Millennials,Sarcastic,"['threat', 'overkill', 'movie reference', 'exaggeration', 'villain']"
Dwight Schrute,Young Adults,Witty,"['workplace', 'seriousness', 'misunderstanding', 'television show', 'literal']"
DW Sign Won t Stop Me Because I Can t Read,Gen Z,Sarcastic,"['ignorance', 'defiance', 'cartoon', 'rebellion', 'rules']"
Eddie Murphy thinking,General Public,Witty,"['pondering', 'celebrity', 'realization', 'suspicion', 'doubt']"
elmo cocaine,Young Adults,Absurd,"['drugs', 'cartoon', 'parody', 'alter ego', 'dark humor']"
elmo fire,Gen Z,Absurd,"['chaos', 'disaster', 'cartoon', 'indifference', 'catastrophe']"
elmo nuclear explosion,Gen Z,Absurd,"['destruction', 'apocalypse', 'cartoon', 'indifference', 'catastrophe']"
Empty Stonks,Professionals,Sarcastic,"['finance', 'loss', 'business', 'failure', 'stock market']"
Epic Handshake,General Public,Wholesome,"['agreement', 'unity', 'strength', 'celebration', 'cooperation']"
Ermahgerd Berks,Millennials,Cringe,"['excitement', 'books', 'overreaction', 'fangirl', 'mispronunciation']"
es de mi agrado informarles,Spanish speakers,Sarcastic,"['announcement', 'formality', 'irony', 'news', 'sarcasm']"
even harder,Young Adults,Relatable,"['effort', 'struggle', 'determination', 'challenge', 'perseverance']"
Everywhere I go I see his face,Gen Z,Relatable,"['obsession', 'presence', 'haunting', 'movie reference', 'longing']"
Evil Kermit,Millennials,Sarcastic,"['inner conflict', 'temptation', 'duality', 'self-talk', 'humor']"
Evil Toddler,Parents,Sarcastic,"['children', 'mischief', 'naughty', 'funny', 'innocence']"
Ew i stepped in shit,Gen Z,Cringe,"['disgust', 'avoidance', 'dislike', 'negative', 'reaction']"
Executive Order Trump,General Public,Witty,"['politics', 'presidential', 'declaration', 'mockery', 'satire']"
Face You Make Robert Downey Jr,Young Adults,Sarcastic,"['disbelief', 'skepticism', 'reaction', 'surprise', 'sarcasm']"
Fairly odd parents,Gen Z,Absurd,"['cartoon', 'magic', 'wish', 'fantasy', 'comedy']"
Fake search,Millennials,Witty,"['internet', 'misdirection', 'surprise', 'search engine', 'humor']"
family guy louis pills,Young Adults,Absurd,"['cartoon', 'confusion', 'mistake', 'surprise', 'comedy']"
Fancy Winnie The Pooh Meme,Millennials,Wholesome,"['classy', 'upgrade', 'humor', 'cartoon', 'sophistication']"
Fantasy Painting,General Public,Witty,"['art', 'fantasy', 'epic', 'imagination', 'humor']"
Farquaad Pointing,Millennials,Sarcastic,"['accusation', 'mockery', 'cartoon', 'humor', 'blame']"
Fast Flash,Gamers,Relatable,"['speed', 'superhero', 'quick', 'race', 'humor']"
fast guy explaining,Students,Relatable,"['explanation', 'quick', 'rush', 'knowledge', 'humor']"
fat guy drinking water,Young Adults,Cringe,"['hydration', 'effort', 'struggle', 'humor', 'relatable']"
Feels Good Man,Gen Z,Wholesome,"['satisfaction', 'joy', 'contentment', 'happiness', 'relief']"
Feel like pure shit,Young Adults,Relatable,"['sadness', 'regret', 'loneliness', 'despair', 'emotion']"
Fernanfloo Dresses Up,Gamers,Absurd,"['gaming', 'costume', 'character', 'funny', 'streamer']"
FINALLY,General Public,Relatable,"['achievement', 'relief', 'completion', 'success', 'patience']"
Finally inner peace,Young Adults,Wholesome,"['calm', 'tranquility', 'satisfaction', 'relief', 'meditation']"
Finding Nemo Seagulls,General Public,Absurd,"['repetition', 'greed', 'cartoon', 'funny', 'birds']"
First rule of the Fight Club,Young Adults,Sarcastic,"['secrecy', 'rules', 'movie reference', 'rebellion', 'cult classic']"
first time,Gen Z,Relatable,"['inexperience', 'naivety', 'situational', 'surprise', 'youth']"
First World Problems,Millennials,Sarcastic,"['privilege', 'complaints', 'trivial problems', 'irony', 'wealth']"
Flex Tape,Gen Z,Absurd,"['solution', 'overkill', 'infomercial', 'exaggeration', 'repair']"
floating boy chasing running boy,Gen Z,Absurd,"['pursuit', 'fear', 'chase', 'surreal', 'imminent danger']"
For Dummies,General Public,Witty,"['instruction', 'simplicity', 'learning', 'mockery', 'book cover']"
Funeral,Young Adults,Sarcastic,"['death', 'celebration', 'dark humor', 'unexpected', 'party']"
Futurama Fry,Millennials,Relatable,"['confusion', 'decision', 'dilemma', 'cartoon', 'uncertainty']"
Futurama Zero Days Since Last Blank,Millennials,Sarcastic,"['failure', 'mistakes', 'countdown', 'cartoon', 'workplace']"
Futuristic Utopia,Gen Z,Wholesome,"['future', 'progress', 'optimism', 'technology', 'ideal world']"
F dinosaur,Gamers,Absurd,"['dinosaur', 'respect', 'video game', 'tribute', 'press F']"
Gabe shut up about the sun,Young Adults,Sarcastic,"['annoyance', 'obsession', 'office', 'dismissal', 'TV show']"
Gentleman frog,Gen Z,Wholesome,"['frog', 'kindness', 'gentleman', 'polite', 'courtesy']"
genuinely tweaking skeleton,Gen Z,Absurd,"['skeleton', 'panic', 'anxiety', 'overreaction', 'freak out']"
